name     ,alt_name   ,ra         ,dec        ,vmag,bv_color,helio_distance,metallicity,radial_velocity,radial_velocity_error,central_sigma_v,central_sigma_v_error,half_light_radius,,rhalf,MV
Arp 2    ,           ,19 28 44.11,-30 21 20.3,12.3,0.86,28.6,-1.75,115,10,               ,                     ,1.77,0.000257436,14.72533014,-4.981830166
NGC 6266 ,M 62       ,17 01 12.80,-30 06 49.4,6.45,1.19,6.8,-1.18,-70.1,1.4,14.3,0.4,0.92,0.000133808,1.819795085,-7.712544564
NGC 6528 ,           ,18 04 49.64,-30 03 22.6,9.6,1.53,7.9,-0.11,206.6,1.4,               ,                     ,0.38,5.52687E-05,0.873245664,-4.888135456
NGC 6522 ,           ,18 03 34.02,-30 02 02.3,8.27,1.21,7.7,-1.34,-21.1,3.4,6.7,0.7,1,0.000145444,2.239837299,-6.162453626
HP 1     ,BH 229     ,17 31 05.20,-29 58 54.0,11.59,        ,8.2,-1,45.8,0.7,               ,                     ,3.1,0.000450876,7.394371517,-2.979069262
NGC 6304 ,           ,17 14 32.25,-29 27 43.3,8.22,1.31,5.9,-0.45,-107.3,3.6,               ,                     ,1.42,0.00020653,2.437059319,-5.634260058
BH 261   ,AL 3       ,18 14 06.60,-28 38 06.0,11,        ,6.5,-1.3,               ,                     ,               ,                     ,0.55,7.99942E-05,1.039924465,-3.064566783
1636-283 ,ESO452-SC11,16 39 25.45,-28 23 55.3,12,        ,8.3,-1.5,               ,                     ,               ,                     ,0.5,7.2722E-05,1.207185044,-2.595390462
NGC 6316 ,           ,17 16 37.30,-28 08 24.4,8.43,1.39,10.4,-0.45,71.4,8.9,               ,                     ,0.65,9.45386E-05,1.966402624,-6.655166696
Djorg 2  ,ESO456-SC38,18 01 49.10,-27 49 33.0,9.9,        ,6.3,-0.65,               ,                     ,               ,                     ,1.05,0.000152716,1.92422386,-4.096702747
NGC 6540 ,Djorg 3    ,18 06 08.60,-27 45 55.0,9.3,        ,5.3,-1.35,-17.7,1.4,               ,                     ,                 ,#VALUE!,#VALUE!,-4.321379348
AM 4     ,           ,13 56 21.70,-27 10 03.0,15.88,        ,32.2,-1.3,               ,                     ,               ,                     ,0.43,6.25409E-05,4.02763473,-1.659279358
Terzan 9 ,           ,18 01 38.80,-26 50 23.0,16,        ,7.1,-1.05,59,10,               ,                     ,0.78,0.000113446,1.610937532,1.743708256
NGC 4590 ,M 68       ,12 39 27.98,-26 44 38.6,7.84,0.63,10.3,-2.23,-94.7,0.2,2.5,0.4,1.51,0.00021962,4.524180415,-7.224186124
